団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数,人口
011002,北海道,札幌市,0.72,94.9,2.9,21.8,99.6,1959512
012025,北海道,函館市,0.48,95.0,5.1,37.4,97.3,244431
012033,北海道,小樽市,0.47,92.5,4.7,26.0,95.8,108548
012041,北海道,旭川市,0.54,93.3,8.5,82.0,98.6,324186
012050,北海道,室蘭市,0.63,95.2,9.9,51.7,98.0,78252
012068,北海道,釧路市,0.45,94.1,10.7,49.3,99.5,160483
012076,北海道,帯広市,0.60,89.6,8.3,38.0,99.2,164014
012084,北海道,北見市,0.44,96.2,11.1,143.8,96.5,113036
012092,北海道,夕張市,0.20,123.5,67.4,220.7,89.4,6729
012106,北海道,岩見沢市,0.38,97.9,10.2,76.4,99.8,76753
012114,北海道,網走市,0.44,91.7,16.7,104.9,97.2,33444
012122,北海道,留萌市,0.32,92.5,9.4,4.9,95.5,19234
012131,北海道,苫小牧市,0.77,88.1,7.1,63.2,98.3,168299
012149,北海道,稚内市,0.39,91.0,10.3,40.7,95.9,31644
012157,北海道,美唄市,0.27,93.2,11.6,76.5,96.6,19500
012165,北海道,芦別市,0.25,90.9,5.3,67.8,93.1,11976
012173,北海道,江別市,0.54,89.8,5.1,-,97.7,119169
012181,北海道,赤平市,0.19,94.4,12.2,76.9,96.3,9008
012190,北海道,紋別市,0.32,86.9,9.4,-,94.3,20618
012203,北海道,士別市,0.25,96.8,14.7,102.9,92.7,17283
012211,北海道,名寄市,0.27,96.4,10.3,5.2,98.7,26020
012220,北海道,三笠市,0.19,91.7,9.6,24.5,96.3,7722
012238,北海道,根室市,0.34,87.3,8.4,-,98.6,23546
012246,北海道,千歳市,0.74,88.2,7.6,-,97.4,97664
012254,北海道,滝川市,0.40,89.9,7.5,32.1,98.1,38062
012262,北海道,砂川市,0.30,83.1,5.5,48.1,99.1,15909
012271,北海道,歌志内市,0.10,93.3,8.9,-,95.4,2790
012289,北海道,深川市,0.27,84.1,14.5,121.2,98.6,19161
012297,北海道,富良野市,0.35,90.6,7.8,52.5,98.6,20223
012301,北海道,登別市,0.46,94.6,10.9,42.5,96.0,45226
012319,北海道,恵庭市,0.60,93.7,6.0,1.3,98.5,70179
012335,北海道,伊達市,0.38,89.9,4.7,-,99.1,32395
012343,北海道,北広島市,0.63,95.3,8.0,81.0,99.1,57351
012351,北海道,石狩市,0.54,94.7,6.8,44.8,97.0,57954
012360,北海道,北斗市,0.48,88.6,5.0,-,98.0,44366
013030,北海道,当別町,0.36,95.8,10.0,37.4,97.2,15329
013048,北海道,新篠津村,0.19,83.8,2.2,-,97.1,2853
013315,北海道,松前町,0.19,86.0,7.5,4.2,97.2,6231
013323,北海道,福島町,0.22,83.5,9.8,7.5,95.2,3571
013331,北海道,知内町,0.28,80.5,9.1,-,96.1,3983
013340,北海道,木古内町,0.20,93.7,13.8,63.8,100.3,3728
013374,北海道,七飯町,0.46,89.2,8.5,17.5,97.8,27934
013439,北海道,鹿部町,0.24,81.8,3.6,-,97.1,3649
013455,北海道,森町,0.30,93.0,10.6,-,98.6,14155
013463,北海道,八雲町,0.30,88.5,10.8,-,96.3,15050
013471,北海道,長万部町,0.23,89.0,10.7,27.7,95.7,4880
013617,北海道,江差町,0.26,86.3,13.0,39.2,97.2,6971
013625,北海道,上ノ国町,0.16,84.3,8.1,-,97.8,4362
013633,北海道,厚沢部町,0.16,78.7,6.5,-,93.2,3500
013641,北海道,乙部町,0.14,66.5,5.6,-,96.7,3331
013676,北海道,奥尻町,0.13,89.8,8.8,8.4,92.9,2346
013706,北海道,今金町,0.19,79.6,7.6,-,97.3,4775
013714,北海道,せたな町,0.16,85.7,8.5,-,95.1,7147
013919,北海道,島牧村,0.08,87.3,6.6,24.7,96.4,1312
013927,北海道,寿都町,0.14,71.3,12.1,-,98.8,2738
013935,北海道,黒松内町,0.14,85.2,13.1,28.1,95.8,2612
013943,北海道,蘭越町,0.18,83.2,10.8,-,95.1,4493
013951,北海道,ニセコ町,0.30,88.1,6.1,44.7,95.0,5088
013960,北海道,真狩村,0.16,92.4,10.7,62.5,95.5,1937
013978,北海道,留寿都村,0.24,85.7,12.5,57.1,98.7,1886
013986,北海道,喜茂別町,0.18,85.1,9.0,60.4,96.5,1988
013994,北海道,京極町,0.69,78.2,7.9,-,97.3,2844
014001,北海道,倶知安町,0.64,84.8,8.0,90.1,96.7,15636
014010,北海道,共和町,0.23,88.7,8.8,-,96.7,5508
014028,北海道,岩内町,0.30,92.0,13.4,100.3,96.6,11343
014036,北海道,泊村,1.49,44.5,1.4,-,97.0,1498
014044,北海道,神恵内村,0.10,87.1,6.1,-,98.1,782
014052,北海道,積丹町,0.11,92.2,9.5,23.1,97.7,1824
014061,北海道,古平町,0.11,79.1,8.7,-,96.0,2720
014079,北海道,仁木町,0.17,84.4,9.2,-,98.2,3128
014087,北海道,余市町,0.34,87.8,5.9,15.4,98.3,17561
014095,北海道,赤井川村,0.25,97.2,5.7,-,96.4,1106
014231,北海道,南幌町,0.28,91.9,10.5,107.9,96.7,7546
014249,北海道,奈井江町,0.24,84.7,9.4,29.3,96.0,4966
014257,北海道,上砂川町,0.11,86.3,5.6,22.6,94.4,2578
014273,北海道,由仁町,0.22,86.9,13.9,74.1,96.7,4783
014281,北海道,長沼町,0.30,84.1,10.6,29.7,97.7,10158
014290,北海道,栗山町,0.29,91.0,8.3,25.6,95.9,11107
014303,北海道,月形町,0.15,85.1,4.0,-,96.6,2864
014311,北海道,浦臼町,0.15,84.5,9.2,-,97.8,1651
014320,北海道,新十津川町,0.19,78.8,4.7,-,96.6,6389
014338,北海道,妹背牛町,0.17,74.9,5.9,-,97.0,2691
014346,北海道,秩父別町,0.15,84.9,5.9,-,97.5,2297
014362,北海道,雨竜町,0.15,89.0,7.4,-,97.1,2154
014371,北海道,北竜町,0.13,87.4,10.6,-,98.7,1674
014389,北海道,沼田町,0.15,83.2,0.1,-,96.9,2900
014524,北海道,鷹栖町,0.27,78.3,5.3,15.9,96.4,6666
014532,北海道,東神楽町,0.37,78.0,8.8,31.0,97.8,9945
014541,北海道,当麻町,0.21,84.8,6.8,30.0,96.3,6174
014559,北海道,比布町,0.17,93.2,5.7,3.4,96.9,3505
014567,北海道,愛別町,0.15,89.8,8.2,-,96.5,2569
014575,北海道,上川町,0.16,84.9,10.3,70.1,101.2,3202
014583,北海道,東川町,0.24,79.7,7.7,4.0,98.2,8601
014591,北海道,美瑛町,0.21,85.4,12.5,27.9,98.4,9573
014605,北海道,上富良野町,0.29,87.1,8.5,22.6,99.4,10110
014613,北海道,中富良野町,0.22,70.1,6.0,-,96.0,4686
014621,北海道,南富良野町,0.13,88.7,11.4,10.7,96.0,2341
014630,北海道,占冠村,0.23,85.7,7.1,44.0,100.7,1394
014648,北海道,和寒町,0.16,78.3,5.6,-,97.0,3006
014656,北海道,剣淵町,0.15,86.1,6.3,-,99.3,2888
014681,北海道,下川町,0.15,88.0,6.5,9.6,96.9,3027
014699,北海道,美深町,0.15,78.6,6.2,-,97.1,3890
014702,北海道,音威子府村,0.10,90.5,6.8,10.2,98.2,668
014711,北海道,中川町,0.11,93.7,13.8,-,96.7,1336
